# List of members of the Baseball Hall of Fame
> Members

| Year | Name | Primary position | Primary team | Career | Induction method | Vote % | Ref |
| 1995 | Day, Leon Leon Day | P | Newark Eagles | 1934–1939 1941–1943 1946 1949–1950 | VC | -1 ! — 1 | [233] |
| 1995 | Hulbert, William William Hulbert | EXEC | -1 ! — | 1876–1882 | VC | -1 ! — 1 | [234] |
| 1995 | Schmidt, Mike Mike Schmidt | 3B | Philadelphia Phillies | 1972–1989 | BBWAA | 96.52% | [235] |
| 1995 | Willis, Vic Vic Willis | P | Boston Braves | 1898–1910 | VC | -1 ! — 1 | [236] |
| 1996 | Bunning, Jim Jim Bunning | P | Philadelphia Phillies | 1955–1971 | VC | -1 ! — 1 | [237] |
| 1996 | Foster, Bill Bill Foster | P | Chicago American Giants | 1923–1938 | VC | -1 ! — 1 | [238] |
| 1996 | Hanlon, Ned Ned Hanlon | MGR | Baltimore Orioles (NL) | 1889–1890 1892–1907 | VC | -1 ! — 1 | [239] |
| 1996 | Weaver, Earl Earl Weaver | MGR | Baltimore Orioles | 1968–1982 1985–1986 | VC | -1 ! — 1 | [240] |
| 1997 | Fox, Nellie Nellie Fox | 2B | Chicago White Sox | 1947–1965 | VC | -1 ! — 1 | [241] |
| 1997 | Lasorda, Tommy Tommy Lasorda | MGR | Los Angeles Dodgers | 1976–1996 | VC | -1 ! — 1 | [242] |
| 1997 | Niekro, Phil Phil Niekro | P | Atlanta Braves | 1964–1987 | BBWAA | 80.34% | [243] |
| 1997 | Wells, Willie Willie Wells | SS | St. Louis Stars | 1923 1924–1936 1942 1944–1948 | VC | -1 ! — 1 | [244] |
| 1998 | Davis, George George Davis | SS | New York Giants | 1890–1909 | VC | -1 ! — 1 | [245] |
| 1998 | Doby, Larry Larry Doby | CF | Cleveland Indians | 1942–1943 1946–1959 | VC | -1 ! — 1 | [246] |
| 1998 | Macphail Lee Lee MacPhail | EXEC | -1 ! — | 1958–1984 | VC | -1 ! — 1 | [247] |
| 1998 | Rogan, Bullet Bullet Rogan | P | Kansas City Monarchs | 1917 1920–1938 | VC | -1 ! — 1 | [248] |
| 1998 | Sutton, Don Don Sutton | P | Los Angeles Dodgers | 1966–1988 | BBWAA | 81.60% | [249] |
| 1999 | Brett, George George Brett | 3B | Kansas City Royals | 1973–1993 | BBWAA | 98.19% | [250] |
| 1999 | Cepeda, Orlando Orlando Cepeda | 1B | San Francisco Giants | 1958–1974 | VC | -1 ! — 1 | [251] |
| 1999 | Chylak, Nestor Nestor Chylak | UMP | -1 ! — | 1954–1978 | VC | -1 ! — 1 | [252] |
| 1999 | Ryan, Nolan Nolan Ryan | P | California Angels [c 15] | 1966 1968–1993 | BBWAA | 98.79% | [253] |
| 1999 | Selee, Frank Frank Selee | MGR | Boston Beaneaters | 1890 1892–1905 | VC | -1 ! — 1 | [254] |
| 1999 | Williams, Joe Joe Williams | P | New York Lincoln Giants | 1910–1932 | VC | -1 ! — 1 | [255] |
| 1999 | Yount, Robin Robin Yount | SS | Milwaukee Brewers | 1974–1993 | BBWAA | 77.46% | [256] |
| 2000 | Anderson, Sparky Sparky Anderson | MGR | Detroit Tigers [c 16] | 1970–1995 | VC | -1 ! — 1 | [257] |
| 2000 | Fisk, Carlton Carlton Fisk | C | Chicago White Sox [c 17] | 1969 1971–1993 | BBWAA | 79.56% | [258] |
| 2000 | Macphee Bid Bid McPhee | 2B | Cincinnati Red Stockings | 1882–1899 | VC | -1 ! — 1 | [259] |
| 2000 | Perez Tony Tony Pérez | 1B | Cincinnati Reds | 1964–1986 | BBWAA | 77.15% | [260] |
| 2000 | Stearnes, Turkey Turkey Stearnes | CF | Detroit Stars | 1920–1942 1945 | VC | -1 ! — 1 | [261] |
| 2001 | Mazeroski, Bill Bill Mazeroski | 2B | Pittsburgh Pirates | 1956–1972 | VC | -1 ! — 1 | [262] |
| 2001 | Puckett, Kirby Kirby Puckett | CF | Minnesota Twins | 1984–1995 | BBWAA | 82.14% | [263] |
| 2001 | Winfield, Dave Dave Winfield | RF | New York Yankees [c 18] | 1973–1995 | BBWAA | 84.47% | [264] |
| 2001 | Smith, Hilton Hilton Smith | P | Kansas City Monarchs | 1932–1948 | VC | -1 ! — 1 | [265] |
| 2002 | Smith, Ozzie Ozzie Smith | SS | St. Louis Cardinals | 1978–1996 | BBWAA | 91.74% | [266] |
| 2003 | Carter, Gary Gary Carter | C | Montreal Expos | 1974–1992 | BBWAA | 78.02% | [267] |
| 2003 | Murray, Eddie Eddie Murray | 1B | Baltimore Orioles | 1977–1997 | BBWAA | 85.28% | [268] |
| 2004 | Eckersley, Dennis Dennis Eckersley | P | Oakland Athletics | 1975–1998 | BBWAA | 83.20% | [269] |
| 2004 | Molitor, Paul Paul Molitor | 3B | Milwaukee Brewers | 1978–1998 | BBWAA | 85.20% | [270] |
| 2005 | Boggs, Wade Wade Boggs | 3B | Boston Red Sox | 1982–1999 | BBWAA | 91.86% | [271] |
| 2005 | Sandberg, Ryne Ryne Sandberg | 2B | Chicago Cubs | 1981–1994 1996–1997 | BBWAA | 76.16% | [272] |
| 2006 | Brown, Ray Ray Brown | P | Homestead Grays | 1931–1945 | SCNL | -1 ! — 2 | [273] |
| 2006 | Brown, Willard Willard Brown | CF | Kansas City Monarchs | 1935–1950 | SCNL | -1 ! — 2 | [274] |
| 2006 | Cooper, Andy Andy Cooper | P | Kansas City Monarchs | 1920–1941 | SCNL | -1 ! — 2 | [275] |
| 2006 | Grant, Frank Frank Grant | 2B | Cuban Giants | 1886–1903 | SCNL | -1 ! — 2 | [276] |
| 2006 | Hill, Pete Pete Hill | CF | Chicago American Giants | 1899–1926 | SCNL | -1 ! — 2 | [277] |
| 2006 | Mackey, Biz Biz Mackey | C | Hilldale Giants | 1920–1947 | SCNL | -1 ! — 2 | [278] |
| 2006 | Manley, Effa Effa Manley | EXEC | Newark Eagles | 1935–1948 | SCNL | -1 ! — 2 | [279] |
| 2006 | Mendez Jose José Méndez | P | Cuban Stars | 1908–1926 | SCNL | -1 ! — 2 | [280] |
| 2006 | Pompez, Alex Alex Pompez | EXEC | New York Cubans | 1916–1950 | SCNL | -1 ! — 2 | [281] |
| 2006 | Posey, Cum Cum Posey | EXEC | Homestead Grays | 1920–1946 | SCNL | -1 ! — 2 | [282] |
| 2006 | Santop, Louis Louis Santop | C | Hilldale Daisies | 1909–1926 | SCNL | -1 ! — 2 | [283] |
| 2006 | Sutter, Bruce Bruce Sutter | P | Chicago Cubs [c 19] | 1976–1988 | BBWAA | 76.90% | [284] |
| 2006 | Suttles, Mule Mule Suttles | 1B | Newark Eagles | 1921 1923–1944 | SCNL | -1 ! — 2 | [285] |
| 2006 | Taylor, Ben Ben Taylor | 1B | Indianapolis ABCs | 1908–1929 | SCNL | -1 ! — 2 | [286] |
| 2006 | Torriente, Cristóbal Cristóbal Torriente | CF | Chicago American Giants | 1913–1928 | SCNL | -1 ! — 2 | [287] |
| 2006 | White, Sol Sol White | EXEC | Philadelphia Giants | -1 ! — | SCNL | -1 ! — 2 | [288] |
| 2006 | Wilkinson, J. L. J. L. Wilkinson | EXEC | Kansas City Monarchs | 1912–1948 | SCNL | -1 ! — 2 | [289] |
| 2006 | Wilson, Jud Jud Wilson | 3B | Philadelphia Stars | 1922–1945 | SCNL | -1 ! — 2 | [290] |
| 2007 | Gwynn, Tony Tony Gwynn | RF | San Diego Padres | 1982–2001 | BBWAA | 97.61% | [291] |
| 2007 | Ripken, Jr., Cal Cal Ripken, Jr. | SS | Baltimore Orioles | 1981–2001 | BBWAA | 98.53% | [292] |
| 2008 | Dreyfuss, Barney Barney Dreyfuss | EXEC/PIO | Pittsburgh Pirates | 1899–1932 | VC | 83.33% | [293] |
| 2008 | Gossage, Rich Rich Gossage | P | New York Yankees | 1972–1989 1991–1994 | BBWAA | 85.82% | [294] |
| 2008 | Kuhn, Bowie Bowie Kuhn | EXEC | -1 ! — | 1969–1984 | VC | 83.33% | [295] |
| 2008 | Omalley Walter Walter O'Malley | EXEC | Los Angeles Dodgers | 1950–1979 | VC | 75.00% | [296] |
| 2008 | Southworth, Billy Billy Southworth | MGR | St. Louis Cardinals | 1929 1940–1951 | VC | 81.25% | [297] |
| 2008 | Williams, Dick Dick Williams | MGR | Montreal Expos [c 20] | 1967–1969 1971–1988 | VC | 81.25% | [298] |
| 2009 | Gordon, Joe Joe Gordon | 2B | New York Yankees | 1938–1950 | VC | 83.33% | [299] |
| 2009 | Henderson, Rickey Rickey Henderson | LF | Oakland Athletics | 1979–2003 | BBWAA | 94.81% | [300] |
| 2009 | Rice, Jim Jim Rice | LF | Boston Red Sox | 1974–1989 | BBWAA | 76.44% | [301] |
| 2010 | Harvey, Doug Doug Harvey | UMP | -1 ! — | 1962–1992 | VC | 93.75% | [302] |
| 2010 | Herzog, Whitey Whitey Herzog | MGR | St. Louis Cardinals | 1973–1990 | VC | 87.50% | [303] |
| 2010 | Dawson, Andre Andre Dawson | OF | Montreal Expos | 1977–1996 | BBWAA | 77.9% | [304] |
| 2011 | Alomar, Roberto Roberto Alomar | 2B | Toronto Blue Jays | 1988–2004 | BBWAA | 90.0% | [305] |
| 2011 | Blyleven, Bert Bert Blyleven | P | Minnesota Twins | 1970–1992 | BBWAA | 79.7% | [305] |
| 2011 | Gillick, Pat Pat Gillick | EXEC | Toronto Blue Jays | 1978–2008 | VC | 81.3% | [306] |
| 2012 | Larkin, Barry Barry Larkin | SS | Cincinnati Reds | 1986–2004 | BBWAA | 86.4% | [307] |
| 2012 | Santo, Ron Ron Santo | 3B | Chicago Cubs | 1960–1974 | VC | 93.75% | [308] |
| 2013 | Oday Hank O'Day | UMP | -1 ! — | 1895–1927 | VC | 93.8% | [309] |
| 2013 | Ruppert, Jacob Jacob Ruppert | EXEC | New York Yankees | 1915–1938 | VC | 93.8% | [310] |
| 2013 | White, Deacon Deacon White | 3B | Buffalo Bisons (NL) | 1871–1890 | VC | 87.5% | [311] |
| 2014 | Cox, Bobby Bobby Cox | MGR | Atlanta Braves | 1978–2010 | VC | 100% | [312] |
| 2014 | Glavine, Tom Tom Glavine | P | Atlanta Braves | 1987–2008 | BBWAA | 91.94% | [313] |
| 2014 | La Russa, Tony Tony La Russa | MGR | St. Louis Cardinals [c 13] | 1979–2011 | VC | 100% | [312] |
| 2014 | Maddux, Greg Greg Maddux | P | Atlanta Braves [c 13] | 1986–2008 | BBWAA | 97.19% | [313] |
| 2014 | Thomas, Frank Frank Thomas | DH | Chicago White Sox | 1990–2008 | BBWAA | 83.71% | [313] |
| 2014 | Torre, Joe Joe Torre | MGR | New York Yankees | 1977–2010 | VC | 100% | [312] |
| 2015 | Biggio, Craig Craig Biggio | 2B | Houston Astros | 1988–2007 | BBWAA | 82.7% | [314] |
| 2015 | Johnson, Randy Randy Johnson | P | Seattle Mariners [c 21] | 1988–2009 | BBWAA | 97.27% | [314] |
| 2015 | Martinez, Pedro Pedro Martinez | P | Boston Red Sox | 1992–2009 | BBWAA | 91.07% | [314] |
| 2015 | Smoltz, John John Smoltz | P | Atlanta Braves | 1988–2009 | BBWAA | 82.88% | [314] |
| 2016 | Griffey Jr., Ken Ken Griffey Jr. | OF | Seattle Mariners | 1989–2010 | BBWAA | 99.32% | [315] |
| 2016 | Piazza, Mike Mike Piazza | C | New York Mets | 1992–2008 | BBWAA | 82.95% | [315] |
